Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1980,572871,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1981,583553,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1982,593926,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1983,604127,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1984,614072,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1985,624459,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1986,635054,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1987,645505,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1988,655343,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1989,664655,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1990,673267,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1991,678889,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1992,684381,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1993,688794,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1994,693044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1995,697393,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1996,701521,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1997,705299,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1998,708075,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1999,712450,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2000,715766,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2001,719935,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2002,723789,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2003,727604,A,"Aggregate, may include official, semi-official, estimated or calculated data"
